timestamp,node,temperature,motion,humidity,luminance,ultraviolet,battery
2025-07-14 13:25:42,4,-1,0,49,0,0,100
2025-07-14 13:34:47,4,28.4,0,48,0,0,100
2025-07-14 13:35:33,4,28.5,0,48,0,0,100
2025-07-14 13:36:34,4,28.5,0,48,0,0,100
2025-07-14 13:37:33,4,28.5,0,48,0,0,100
2025-07-14 13:38:31,4,28.5,0,48,0,0,100
2025-07-14 13:39:34,4,28.5,0,48,0,0,100
2025-07-14 13:40:34,4,28.5,0,48,0,0,100
2025-07-14 13:41:34,4,28.5,0,48,0,0,100
2025-07-14 13:42:34,4,28.5,0,48,0,0,100
2025-07-14 13:43:34,4,28.5556,0,48,0,0,100
2025-07-14 13:44:34,4,28.5556,0,48,0,0,100
2025-07-14 13:45:34,4,28.5556,0,48,0,0,100
2025-07-14 21:20:54,4,24.4,1,64,0,-1,100
2025-07-14 21:21:44,4,24.9,1,63,0,-1,100
2025-07-14 21:22:44,4,25.6667,1,87,0,-1,100
2025-07-14 21:23:44,4,26.7222,1,82,0,-1,100
2025-07-14 21:24:44,4,27.3,1,70,0,-1,100
2025-07-14 21:25:45,4,27.9,1,69,0,-1,100
2025-07-14 21:26:44,4,28.3889,1,65,0,-1,100
2025-07-14 21:27:44,4,28.7222,1,62,0,-1,100
2025-07-14 21:28:39,4,28.9,1,60,0,0,100
2025-07-14 21:29:44,4,29.1,1,58,0,-1,100
2025-07-14 21:30:44,4,29.1111,1,56,0,-1,100
2025-07-14 21:31:46,4,29.1111,0,55,0,0,-1
2025-07-14 21:32:45,4,29.1,0,55,0,-1,100
2025-07-15 15:35:39,4,22.2,1,56,35,0,100
2025-07-15 15:36:44,4,22.8,1,54,40,-1,100
2025-07-15 15:37:39,4,23.9444,1,100,59,0,100
2025-07-15 15:38:44,4,24.5556,1,73,0,-1,100
2025-07-15 15:39:45,4,25,1,64,0,-1,100
2025-07-15 15:40:44,4,25.4,1,60,0,-1,100
2025-07-15 15:41:42,4,25.7778,1,58,0,-1,100
2025-07-15 15:42:45,4,26.0556,0,57,0,-1,100
2025-07-15 15:43:44,4,26.3,0,56,0,-1,100
2025-07-15 15:44:44,4,26.8,1,78,0,-1,100
